CountryName,CountryCode,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
东亚与太平洋地区（所有收入水平）,EAS,核能发电量（千瓦时）,EG.ELC.NUCL.KH,0,0,0,0,0,0,600000000,600000000,1000000000,1100000000,4600000000,8000000000,9500000000,9707000000,19699000000,25125000000,34079000000,31829000000,64307000000,79874000000,94267000000,1.01E+11,1.19E+11,1.42E+11,1.71E+11,2.05E+11,2.24E+11,2.60E+11,2.49E+11,2.59E+11,2.88E+11,3.05E+11,3.14E+11,3.43E+11,3.77E+11,4.06E+11,4.28E+11,4.47E+11,4.73E+11,4.73E+11,4.86E+11,4.85E+11,4.79E+11,4.52E+11,5.03E+11,5.45E+11,5.47E+11,5.09E+11,5.18E+11,5.39E+11,5.52E+11,3.85E+11,,,
欧洲和中亚,ECA,核能发电量（千瓦时）,EG.ELC.NUCL.KH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,928000000,2554000000,4989000000,5884000000,5910000000,6180000000,6165000000,9119000000,10746000000,14791000000,16501000000,19611000000,19494000000,23422000000,29475000000,28457000000,1.05E+11,1.02E+11,99266000000,1.03E+11,98232000000,1.02E+11,1.16E+11,1.18E+11,1.13E+11,1.09E+11,1.17E+11,1.17E+11,1.20E+11,1.17E+11,1.24E+11,1.30E+11,1.31E+11,1.32E+11,1.34E+11,1.28E+11,1.34E+11,1.37E+11,,,
欧洲与中亚地区（所有收入水平）,ECS,核能发电量（千瓦时）,EG.ELC.NUCL.KH,2370000000,2862000000,4297000000,7257000000,11374000000,19833000000,26002000000,30719000000,34266000000,42459000000,44563000000,50874000000,67514000000,74368000000,87364000000,1.17E+11,1.36E+11,1.62E+11,1.82E+11,2.02E+11,2.37E+11,3.20E+11,3.50E+11,4.12E+11,5.24E+11,6.29E+11,6.82E+11,7.05E+11,7.58E+11,7.99E+11,1.01E+12,1.04E+12,1.04E+12,1.08E+12,1.05E+12,1.08E+12,1.14E+12,1.15E+12,1.14E+12,1.17E+12,1.18E+12,1.22E+12,1.24E+12,1.26E+12,1.27E+12,1.26E+12,1.27E+12,1.22E+12,1.22E+12,1.17E+12,1.21E+12,1.20E+12,,,
厄瓜多尔,ECU,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
阿拉伯埃及共和国,EGY,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
欧洲货币联盟,EMU,核能发电量（千瓦时）,EG.ELC.NUCL.KH,146000000,295000000,577000000,892000000,3211000000,4680000000,5740000000,7392000000,8053000000,12738000000,16729000000,21845000000,32831000000,37950000000,43698000000,64036000000,71023000000,87573000000,1.06E+11,1.25E+11,1.53E+11,2.19E+11,2.41E+11,2.90E+11,3.83E+11,4.65E+11,5.05E+11,5.25E+11,5.61E+11,5.98E+11,6.03E+11,6.16E+11,6.35E+11,6.59E+11,6.47E+11,6.67E+11,6.97E+11,7.08E+11,6.97E+11,7.17E+11,7.43E+11,7.52E+11,7.62E+11,7.65E+11,7.75E+11,7.71E+11,7.74E+11,7.32E+11,7.43E+11,6.92E+11,7.26E+11,7.05E+11,,,
厄立特里亚,ERI,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
西班牙,ESP,核能发电量（千瓦时）,EG.ELC.NUCL.KH,0,0,0,0,0,0,0,0,83000000,829000000,923000000,2523000000,4751000000,6545000000,7223000000,7544000000,7555000000,6524000000,7649000000,6700000000,5186000000,9568000000,8771000000,10661000000,23086000000,28044000000,37458000000,41271000000,50466000000,56126000000,54268000000,55578000000,55782000000,56060000000,55313000000,55455000000,56330000000,55298000000,58993000000,58852000000,62206000000,63708000000,63016000000,61875000000,63606000000,57539000000,60126000000,55103000000,58973000000,52761000000,61990000000,57731000000,61371000000,,
爱沙尼亚,EST,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
埃塞俄比亚,ETH,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
