CountryName,CountryCode,Indicator Name,IndicatorCode,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
爱尔兰,IRL,天然气发电量（千瓦时）,EG.ELC.NGAS.KH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,781000000,1610000000,3399000000,4955000000,5677000000,6019000000,5960000000,2767000000,2309000000,3528000000,4173000000,3941000000,3752000000,3648000000,4535000000,4456000000,5160000000,6291000000,6569000000,6425000000,6958000000,9263000000,9147000000,10829000000,13038000000,12894000000,11574000000,13785000000,15465000000,16721000000,16298000000,17715000000,14890000000,13683000000,,
爱尔兰,IRL,核能发电量（千瓦时）,EG.ELC.NUCL.KH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
爱尔兰,IRL,石油发电量（千瓦时）,EG.ELC.PETR.KH,124000000,526000000,830000000,1092000000,1464000000,1678000000,2025000000,2352000000,2286000000,2616000000,3115000000,3963000000,4418000000,4873000000,5007000000,5098000000,5442000000,6019000000,6910000000,7212000000,6385000000,4645000000,2995000000,2393000000,2256000000,2424000000,5378000000,2692000000,970000000,716000000,1428000000,2432000000,2472000000,2341000000,2836000000,2680000000,2687000000,3465000000,4849000000,6169000000,4638000000,5203000000,3729000000,2454000000,3211000000,3340000000,2834000000,1919000000,1708000000,921000000,605000000,417000000,426000000,,
爱沙尼亚,EST,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14995000000,12644000000,10721000000,8222000000,8728000000,8403000000,8821000000,8854000000,8036000000,7723000000,7820000000,7816000000,8000000000,9608000000,9698000000,9504000000,9018000000,11645000000,9909000000,8023000000,11454000000,11335000000,10210000000,,
爱沙尼亚,EST,水力发电量（千瓦时）,EG.ELC.HYRO.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1000000,1000000,3000000,2000000,2000000,3000000,4000000,4000000,5000000,7000000,6000000,13000000,22000000,22000000,14000000,21000000,28000000,32000000,27000000,30000000,42000000,,
爱沙尼亚,EST,天然气发电量（千瓦时）,EG.ELC.NGAS.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,957000000,971000000,287000000,130000000,220000000,264000000,294000000,258000000,266000000,229000000,596000000,599000000,529000000,504000000,487000000,544000000,539000000,344000000,423000000,108000000,303000000,250000000,125000000,,
爱沙尼亚,EST,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
爱沙尼亚,EST,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440000000,1271000000,529000000,620000000,130000000,103000000,100000000,178000000,259000000,297000000,56000000,40000000,27000000,40000000,42000000,32000000,30000000,34000000,37000000,45000000,41000000,43000000,58000000,,
安道尔共和国,AND,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安道尔共和国,AND,水力发电量（千瓦时）,EG.ELC.HYRO.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安道尔共和国,AND,天然气发电量（千瓦时）,EG.ELC.NGAS.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
