CountryName,CountryCode,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
科特迪瓦,CIV,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,449000000,466000000,628000000,577000000,579000000,771000000,1021000000,1247000000,1089000000,397000000,158000000,219000000,961000000,1123000000,426000000,666000000,1121000000,1070000000,607000000,661000000,563000000,802000000,1089000000,1187000000,1031000000,292000000,384000000,472000000,239000000,13000000,13000000,13000000,6000000,8000000,7000000,16000000,18000000,9000000,12000000,85000000,33000000,,,
喀麦隆,CMR,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,29000000,42000000,50000000,57000000,65000000,70000000,75000000,78000000,79000000,88000000,99000000,110000000,75000000,38000000,53000000,47000000,57000000,51000000,43000000,41000000,39000000,35000000,30000000,32000000,32000000,33000000,36000000,52000000,42000000,38000000,67000000,118000000,156000000,190000000,232000000,571000000,838000000,872000000,1283000000,1163000000,1098000000,,,
刚果（布）,COG,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,27000000,28000000,38000000,35000000,39000000,43000000,51000000,54000000,53000000,55000000,55000000,21000000,2000000,2000000,3000000,2000000,3000000,3000000,3000000,3000000,0,4000000,3000000,2000000,2000000,2000000,2000000,2000000,16000000,1000000,0,0,0,0,0,0,9000000,34000000,23000000,12000000,9000000,,,
哥伦比亚,COL,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,1291000000,878000000,1230000000,1515000000,245000000,269000000,294000000,285000000,352000000,375000000,458000000,303000000,239000000,263000000,257000000,310000000,297000000,337000000,273000000,379000000,406000000,713000000,518000000,418000000,254000000,261000000,280000000,180000000,118000000,101000000,101000000,94000000,118000000,114000000,114000000,118000000,151000000,151000000,322000000,502000000,507000000,,,
科摩罗,COM,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佛得角,CPV,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
哥斯达黎加,CRI,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,110000000,162000000,209000000,213000000,228000000,190000000,413000000,439000000,365000000,96000000,70000000,67000000,74000000,53000000,50000000,48000000,123000000,137000000,82000000,86000000,198000000,856000000,509000000,498000000,825000000,446000000,171000000,441000000,133000000,59000000,100000000,122000000,157000000,66000000,271000000,533000000,722000000,677000000,451000000,641000000,863000000,,,
加勒比小国,CSS,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,1486000000,1776000000,1905000000,2003000000,1319000000,1352000000,1364000000,1366000000,1353000000,1320000000,1307000000,1560000000,1474000000,1468000000,1446000000,1549000000,1666000000,1644000000,1586000000,2275000000,1983000000,3823000000,3596000000,4512000000,5528000000,5683000000,5884000000,6173000000,6299000000,6289000000,6429000000,6781000000,6972000000,6989000000,7160000000,7193000000,5717000000,5758000000,5279000000,3886000000,4744000000,,,
古巴,CUB,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,4093000000,4550000000,4927000000,5088000000,5530000000,6013000000,6624000000,7232000000,8316000000,8891000000,9495000000,9956000000,10365000000,11031000000,10975000000,11510000000,11880000000,12916000000,13754000000,13139000000,11462000000,8373000000,7623000000,8298000000,8881000000,9292000000,11017000000,10538000000,9679000000,8578000000,8677000000,5318000000,4597000000,4599000000,5652000000,7467000000,7214000000,7802000000,6846000000,6877000000,7691000000,,,
库拉索,CUW,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
开曼群岛,CYM,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
塞浦路斯,CYP,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,665000000,765000000,830000000,729000000,716000000,796000000,860000000,919000000,977000000,1034000000,1060000000,1144000000,1221000000,1250000000,1319000000,1423000000,1501000000,1647000000,1831000000,1974000000,2077000000,2430000000,2590000000,2685000000,2497000000,2609000000,2728000000,2991000000,3139000000,3370000000,3551000000,3785000000,4052000000,4201000000,4376000000,4651000000,4868000000,5064000000,5184000000,5249000000,4751000000,,,
捷克共和国,CZE,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,3940000000,4042000000,4652000000,5687000000,6494000000,7039000000,7158000000,7304000000,7087000000,5031000000,6267000000,3043000000,2926000000,3694000000,3770000000,4364000000,4494000000,4406000000,3670000000,540000000,531000000,526000000,374000000,491000000,594000000,730000000,630000000,616000000,427000000,372000000,386000000,384000000,368000000,348000000,326000000,258000000,115000000,131000000,156000000,159000000,99000000,79000000,,
德国,DEU,石油发电量（千瓦时）,EG.ELC.PETR.KH,3198000000,4672000000,6277000000,9379000000,12669000000,17104000000,21763000000,21713000000,24147000000,29137000000,37696000000,38158000000,42237000000,44833000000,32308000000,31657000000,35989000000,30762000000,33203000000,29371000000,26741000000,20873000000,17721000000,12781000000,9177000000,9595000000,13643000000,13811000000,11794000000,10437000000,10397000000,14740000000,13217000000,10091000000,8774000000,8983000000,7966000000,6866000000,6376000000,5845000000,4785000000,4758000000,4322000000,4712000000,10140000000,10583000000,9549000000,8604000000,9244000000,9639000000,8273000000,6608000000,9467000000,,
吉布提,DJI,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多米尼克,DMA,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
丹麦,DNK,石油发电量（千瓦时）,EG.ELC.PETR.KH,1547000000,1576000000,1685000000,2355000000,2729000000,2819000000,4813000000,3886000000,5838000000,10748000000,13751000000,15137000000,16692000000,12251000000,12632000000,11857000000,10953000000,11448000000,9082000000,8124000000,4819000000,2724000000,1978000000,1019000000,849000000,1465000000,1541000000,1190000000,1455000000,1229000000,882000000,1150000000,1234000000,1266000000,3033000000,1423000000,1758000000,981000000,1396000000,1100000000,698000000,875000000,1447000000,2134000000,1636000000,1375000000,1619000000,1288000000,1121000000,1170000000,770000000,452000000,373000000,,
多米尼加共和国,DOM,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,1131000000,1036000000,1641000000,1586000000,1927000000,1568000000,2256000000,2050000000,2286000000,2625000000,1874000000,1999000000,2376000000,2483000000,2419000000,2821000000,2494000000,1719000000,2731000000,3281000000,2876000000,4560000000,3650000000,4922000000,4631000000,5451000000,6257000000,6251000000,5953000000,7505000000,9065000000,8968000000,5553000000,6719000000,6146000000,6318000000,6342000000,6505000000,6268000000,6065000000,6174000000,,,
阿尔及利亚,DZA,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,1033000000,710000000,512000000,512000000,906000000,977000000,1114000000,1062000000,792000000,872000000,980000000,1185000000,1198000000,1176000000,1146000000,1198000000,1100000000,1107000000,1126000000,874000000,749000000,774000000,627000000,749000000,655000000,744000000,827000000,802000000,677000000,773000000,775000000,597000000,687000000,687000000,717000000,750000000,794000000,792000000,607000000,964000000,2816000000,,,
东亚与太平洋,EAP,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,26990000000,40642000000,53373000000,51293000000,63596000000,79121000000,77613000000,87898000000,1.04E+11,1.18E+11,1.14E+11,1.09E+11,1.09E+11,1.06E+11,86957000000,82644000000,88043000000,94984000000,93882000000,1.01E+11,1.07E+11,1.12E+11,1.29E+11,1.08E+11,1.18E+11,1.17E+11,1.17E+11,1.18E+11,1.02E+11,93824000000,91053000000,97607000000,1.03E+11,1.31E+11,1.21E+11,1.10E+11,88179000000,78593000000,65476000000,65090000000,72140000000,,,
东亚与太平洋地区（所有收入水平）,EAS,石油发电量（千瓦时）,EG.ELC.PETR.KH,20885000000,27602000000,32081000000,37502000000,58468000000,62768000000,72902000000,94971000000,1.18E+11,1.70E+11,2.13E+11,2.96E+11,3.59E+11,4.36E+11,3.97E+11,4.17E+11,4.62E+11,4.88E+11,4.89E+11,4.91E+11,4.62E+11,4.57E+11,4.27E+11,4.16E+11,3.73E+11,3.15E+11,3.01E+11,3.07E+11,3.49E+11,3.83E+11,3.18E+11,3.31E+11,3.43E+11,3.41E+11,3.40E+11,3.46E+11,3.32E+11,3.26E+11,2.95E+11,2.83E+11,2.90E+11,2.64E+11,2.72E+11,2.76E+11,2.84E+11,2.76E+11,2.52E+11,2.51E+11,2.20E+11,1.78E+11,1.82E+11,2.16E+11,,,
欧洲和中亚,ECA,石油发电量（千瓦时）,EG.ELC.PETR.KH,233000000,235000000,271000000,292000000,318000000,1946000000,2180000000,3173000000,3280000000,4314000000,5488000000,12384000000,14483000000,16878000000,19812000000,16670000000,24304000000,30575000000,36993000000,33220000000,24249000000,29789000000,28422000000,31089000000,31788000000,27234000000,29647000000,25903000000,14083000000,16947000000,1.37E+11,1.20E+11,86248000000,72803000000,58529000000,61231000000,52073000000,49358000000,46938000000,44737000000,42748000000,37359000000,33792000000,32000000000,25318000000,22543000000,21508000000,19562000000,17039000000,16748000000,6995000000,4501000000,,,
欧洲与中亚地区（所有收入水平）,ECS,石油发电量（千瓦时）,EG.ELC.PETR.KH,44291000000,54839000000,69523000000,81836000000,1.10E+11,1.25E+11,1.40E+11,1.54E+11,1.76E+11,2.18E+11,2.76E+11,3.24E+11,3.79E+11,4.17E+11,4.06E+11,3.59E+11,4.09E+11,3.64E+11,4.00E+11,4.01E+11,3.80E+11,3.33E+11,2.86E+11,2.48E+11,2.68E+11,2.16E+11,2.06E+11,2.05E+11,1.89E+11,2.19E+11,4.71E+11,4.61E+11,4.15E+11,3.56E+11,3.32E+11,3.42E+11,3.15E+11,2.94E+11,3.04E+11,2.75E+11,2.43E+11,2.26E+11,2.37E+11,2.17E+11,1.90E+11,1.80E+11,1.76E+11,1.45E+11,1.38E+11,1.27E+11,99131000000,1.03E+11,,,
厄瓜多尔,ECU,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,610000000,672000000,821000000,895000000,1000000000,1256000000,1639000000,1814000000,2349000000,2500000000,2907000000,3244000000,2582000000,1303000000,1279000000,1000000000,814000000,815000000,815000000,1362000000,1899000000,2222000000,1601000000,1579000000,3268000000,2996000000,3828000000,4384000000,3131000000,3003000000,3979000000,3989000000,3427000000,4224000000,4201000000,4403000000,4159000000,5033000000,6707000000,7961000000,6632000000,,,
阿拉伯埃及共和国,EGY,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,2957000000,2884000000,2950000000,3040000000,3586000000,4193000000,5095000000,5830000000,7240000000,5255000000,6356000000,6905000000,9082000000,10931000000,12807000000,13593000000,16345000000,17111000000,17714000000,13393000000,12514000000,11971000000,8973000000,8088000000,9932000000,11213000000,13454000000,18672000000,11431000000,22313000000,12983000000,16172000000,13700000000,13227000000,14728000000,18606000000,23239000000,25833000000,29547000000,30768000000,24676000000,,,
